ESTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	STATOBCAN	POVOLANI	BYDLISTEN	BYDLISTEK	PSTRANA	NSTRANA	PLATNOST	POCHLASU	POCPROC	MANDAT	PORADIMAND	PORADINAHR	POHLAVI	ROK	VSTRANA
5	9	Bohdan	Babinec	MUDr.	CSc.	60	CZ	lékař - chirurg	Praha	1	2	2	A	96	0	N	0	0	M	2004	310
5	10	Jan	Kubačák			32	CZ	podnikatel	Vyškov	592889	2	2	A	87	0	N	0	0	M	2004	310
5	11	Lenka	Hetzelová	Ing.		41	CZ	bankovní specialista	Kladno	532053	99	152	A	32	0	N	0	0	F	2004	310
5	12	Petr	Topinka	JUDr.		46	CZ	podnikatel	Praha	1	2	2	A	41	0	N	0	0	M	2004	310
5	13	Marek	Světlík	Mgr.		59	CZ	SŠ pedagog	Praha	1	2	2	A	33	0	N	0	0	M	2004	310
5	14	Michaela	Matějková	Mgr.		42	CZ	SŠ pedagog	Praha	1	99	2	A	24	0	N	0	0	F	2004	310
5	15	Ludvík	Hynek	JUDr.		54	CZ	podnikatel	Praha	1	2	2	A	14	0	N	0	0	M	2004	310
5	16	Jiří	Pondělíček			39	CZ	knihkupec	Praha	1	2	2	A	28	0	N	0	0	M	2004	310
5	17	Milan	Soukup	Bc.		38	CZ	analytik	Neratovice	535087	152	152	A	16	0	N	0	0	M	2004	310
5	18	František	Stránský	Ing.		48	CZ	analytik	Praha	1	2	2	A	7	0	N	0	0	M	2004	310
5	19	Jan	Herna		ThDipl.	61	CZ	teolog	Praha	1	2	2	A	7	0	N	0	0	M	2004	310
5	20	Ladislav	Bergmann			72	CZ	sekretář SBPV	Řevnice	539643	99	2	A	10	0	N	0	0	M	2004	310
5	21	Vladimír	Fröhlich			56	CZ	zvukař	Praha	1	2	2	A	3	0	N	0	0	M	2004	310
5	22	Růžena	Šimková	RNDr.		43	CZ	podnikatel	Valašské Meziříčí	545058	99	152	A	15	0	N	0	0	F	2004	310
5	23	Přemysl	Votava			60	CZ	manažer	Praha	1	2	2	A	14	0	N	0	0	M	2004	310
5	24	Naděžda	Bruthansová	Ing.		50	CZ	podnikatel	Praha	1	99	152	A	2	0	N	0	0	F	2004	310
5	25	Pavel	Sibřina		DiS.	25	CZ	manažer	Praha	1	99	152	A	12	0	N	0	0	M	2004	310
5	26	Ivan	Dvořák			48	CZ	mistr	Praha	1	2	2	A	3	0	N	0	0	M	2004	310
5	27	Věra	Edelmannová	Bc.		24	CZ	VŠ studentka	Františkovy Lázně	554529	99	152	A	29	0	N	0	0	F	2004	310
5	28	Miroslav	Knapovský	Ing.		32	CZ	IT specialista	Červený Kostelec	573965	99	152	A	16	0	N	0	0	M	2004	310
5	29	Jarmila	Jirsáková			51	CZ	podnikatel	Praha	1	2	2	A	1	0	N	0	0	F	2004	310
5	30	Karel	Mrlík	Ing.		63	CZ	podnikatel	Zlín	585068	2	2	A	16	0	N	0	0	M	2004	310
